BubbleSort,20,43700
BubbleSort,100,867000
BubbleSort,1000,7698600
MergeSort,1000,1136300
QuickSort,1000,679900
InsertionSorter,1000,4375900
BinaryTree,10,7534000
BinaryTree,10,6477500
BinaryTree,10,25959399
BinaryTree,5,22329500
BinaryTree,5,23296700
BinaryTree,10,24352300
BubbleSort,5,5500
MergeSort,5,25500
QuickSort,5,15600
InsertionSorter,5,2800
BinaryTree,5,224200
BinaryTree,10,23930800
BinaryTree,5,22674100
BinaryTree,10000,97585100
BubbleSort,10,7800
MergeSort,10,37400
QuickSort,10,41000
InsertionSorter,10,9400
BinaryTree,10,15628700
BubbleSort||Integers,10,87500
MergeSort||Rectangles,10,43600
QuickSort||People,10,58600
InsertionSorter||Integers,10,27900
BinaryTree||Rectangles,10,25400
BubbleSort||Rectangles,100,1876900
BubbleSort,100,821800
BinaryTree,100,16912000
InsertionSorter,100,130500
BubbleSort||Rectangles,100,1011500
